URL,Name,View,Module
/admin/,index,index,django.contrib.admin.sites
/admin/login/,login,login,django.contrib.admin.sites
/admin/logout/,logout,logout,django.contrib.admin.sites
/admin/password_change/,password_change,password_change,django.contrib.admin.sites
/admin/password_change/done/,password_change_done,password_change_done,django.contrib.admin.sites
/admin/autocomplete/,autocomplete,autocomplete_view,django.contrib.admin.sites
/admin/jsi18n/,jsi18n,i18n_javascript,django.contrib.admin.sites
/admin/r/<path:content_type_id>/<path:object_id>/,view_on_site,shortcut,django.contrib.contenttypes.views
/admin/auth/group/,auth_group_changelist,changelist_view,django.contrib.admin.options
/admin/auth/group/add/,auth_group_add,add_view,django.contrib.admin.options
/admin/auth/group/<path:object_id>/history/,auth_group_history,history_view,django.contrib.admin.options
/admin/auth/group/<path:object_id>/delete/,auth_group_delete,delete_view,django.contrib.admin.options
/admin/auth/group/<path:object_id>/change/,auth_group_change,change_view,django.contrib.admin.options
/admin/auth/group/<path:object_id>/,unnamed,view,django.views.generic.base
/admin/core/usuario/,core_usuario_changelist,changelist_view,django.contrib.admin.options
/admin/core/usuario/add/,core_usuario_add,add_view,django.contrib.admin.options
/admin/core/usuario/<path:object_id>/history/,core_usuario_history,history_view,django.contrib.admin.options
/admin/core/usuario/<path:object_id>/delete/,core_usuario_delete,delete_view,django.contrib.admin.options
/admin/core/usuario/<path:object_id>/change/,core_usuario_change,change_view,django.contrib.admin.options
/admin/core/usuario/<path:object_id>/,unnamed,view,django.views.generic.base
/admin/(?P<app_label>auth|core)/,app_list,app_index,django.contrib.admin.sites
/admin/(?P<url>.*),unnamed,catch_all_view,django.contrib.admin.sites
/,inicio,inicio_view,apps.clientes.views
/catalogo/,catalogo,catalogo_view,apps.clientes.views
/producto/<int:cod_producto>/,producto_detalle,producto_detalle_view,apps.clientes.views
/carrito/,carrito,carrito_view,apps.clientes.views
/pedidos/,pedidos,pedidos_view,apps.clientes.views
/checkout/,checkout,checkout_view,apps.clientes.views
/prime/checkout/<int:cod_plan>/,checkout_prime,checkout_prime_view,apps.clientes.views
/api/categorias/,api_categorias,api_categorias,apps.clientes.views
/api/productos/,api_productos,api_productos,apps.clientes.views
/api/productos/destacados/,api_productos_destacados,api_productos_destacados,apps.clientes.views
/api/productos/mas-vendidos/,api_productos_mas_vendidos,api_productos_mas_vendidos,apps.clientes.views
/api/productos/nuevos/,api_productos_nuevos,api_productos_nuevos,apps.clientes.views
/api/productos/ofertas/,api_productos_ofertas,api_productos_ofertas,apps.clientes.views
/api/productos/autocompletar/,api_productos_autocompletar,api_productos_autocompletar,apps.clientes.views
/api/productos/<int:cod_producto>/,api_producto_detalle,api_producto_detalle,apps.clientes.views
/api/productos/<int:cod_producto>/cotizar/,api_cotizar_producto_lotes,api_cotizar_producto_lotes,apps.clientes.views
/api/productos/<int:cod_producto>/preguntas/,api_preguntas_producto,api_preguntas_producto,apps.clientes.views
/api/productos/<int:cod_producto>/preguntar/,api_preguntar_producto,api_preguntar_producto,apps.clientes.views
/api/productos/<int:cod_producto>/resenas/crear/,api_crear_resena_producto,api_crear_resena_producto,apps.clientes.views
/api/carrito/,api_carrito,api_carrito,apps.clientes.views
/api/carrito/agregar/,api_carrito_agregar,api_carrito_agregar,apps.clientes.views
/api/carrito/actualizar/,api_carrito_actualizar,api_carrito_actualizar,apps.clientes.views
/api/carrito/eliminar/,api_carrito_eliminar,api_carrito_eliminar,apps.clientes.views
/api/carrito/validar/,api_carrito_validar,api_carrito_validar,apps.clientes.views
/api/checkout/crear-pedido/,api_checkout_crear_pedido,api_checkout_crear_pedido,apps.clientes.views
/api/pedidos/<int:cod_pedido>/cupon/,api_aplicar_cupon_pedido,api_aplicar_cupon_pedido,apps.clientes.views
/api/mis-pedidos/,api_mis_pedidos,api_mis_pedidos,apps.clientes.views
/api/pedidos/<int:cod_pedido>/,api_pedido_detalle,api_pedido_detalle,apps.clientes.views
/api/pedidos/<int:cod_pedido>/tracking/,api_tracking_pedido,api_tracking_pedido,apps.clientes.views
/api/pedidos/<int:cod_pedido>/cancelar/,api_cancelar_pedido,api_cancelar_pedido,apps.clientes.views
/api/pedidos/<int:cod_pedido>/devolucion/,api_solicitar_devolucion_pedido,api_solicitar_devolucion_pedido,apps.clientes.views
/api/favoritos/toggle/,api_favorito_toggle,api_favorito_toggle,apps.clientes.views
/api/favoritos/,api_favoritos,api_favoritos,apps.clientes.views
/api/membresia/,api_membresia,api_membresia,apps.clientes.views
/api/membresia/activar/,api_activar_membresia,api_activar_membresia,apps.clientes.views
/api/membresia/cancelar/,api_cancelar_membresia,api_cancelar_membresia,apps.clientes.views
/api/compras-recurrentes/,api_compras_recurrentes,api_compras_recurrentes,apps.clientes.views
/api/compras-recurrentes/crear/,api_crear_compra_recurrente,api_crear_compra_recurrente,apps.clientes.views
/api/compras-recurrentes/<int:cod_compra>/actualizar/,api_actualizar_compra_recurrente,api_actualizar_compra_recurrente,apps.clientes.views
/api/compras-recurrentes/<int:cod_compra>/productos/,api_producto_compra_recurrente,api_producto_compra_recurrente,apps.clientes.views
/api/compras-recurrentes/<int:cod_compra>/ejecutar/,api_ejecutar_compra_recurrente,api_ejecutar_compra_recurrente,apps.clientes.views
/login/,login,login_view,apps.core.views
/registro/,registro,registro_view,apps.core.views
/logout/,logout,logout_view,apps.core.views
/perfil/,perfil,perfil_view,apps.core.views
/api/csrf/,api_csrf,api_csrf,apps.core.views
/api/session/,api_session,api_session,apps.core.views
/api/auth/login/,api_auth_login,api_auth_login,apps.core.views
/api/auth/registro/,api_auth_registro,api_auth_registro,apps.core.views
/api/auth/logout/,api_auth_logout,api_auth_logout,apps.core.views
/api/perfil/,api_perfil,api_perfil,apps.core.views
/api/perfil/actualizar/,api_actualizar_perfil,api_actualizar_perfil,apps.core.views
/api/ubicaciones/,api_ubicaciones,api_ubicaciones,apps.core.views
/api/direcciones/,api_direcciones,api_direcciones,apps.core.views
/api/direcciones/crear/,api_crear_direccion,api_crear_direccion,apps.core.views
/api/direcciones/<int:cod_direccion>/actualizar/,api_actualizar_direccion,api_actualizar_direccion,apps.core.views
/api/direcciones/<int:cod_direccion>/eliminar/,api_eliminar_direccion,api_eliminar_direccion,apps.core.views
/api/seguridad/password/,api_cambiar_password,api_cambiar_password,apps.core.views
/api/seguridad/verificar-email/,api_verificar_email,api_verificar_email,apps.core.views
/panel/,panel,panel_view,apps.administracion.views
/panel/api/resumen/,api_resumen,api_resumen,apps.administracion.views
/panel/api/productos/,api_productos_admin,api_productos_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/publicar/,api_publicar_producto,api_publicar_producto,apps.administracion.views
/panel/api/productos/<int:cod_producto>/pausar/,api_pausar_producto,api_pausar_producto,apps.administracion.views
/panel/api/productos/<int:cod_producto>/desactivar/,api_desactivar_producto,api_desactivar_producto,apps.administracion.views
/panel/api/productos/crear/,api_crear_producto,api_producto_admin,apps.administracion.views
/panel/api/productos/crear-integral/,api_crear_producto_integral,api_producto_integral_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/actualizar/,api_actualizar_producto,api_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/validar-publicable/,api_validar_producto_publicable,api_validar_producto_publicable,apps.administracion.views
/panel/api/productos/<int:cod_producto>/gestion/,api_gestion_producto,api_gestion_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/imagenes/,api_imagen_producto,api_imagen_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/archivos/,api_archivo_producto,api_archivo_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/limite/,api_limite_producto,api_limite_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/relacionados/,api_relacion_producto,api_relacion_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/moderacion/,api_moderacion_producto,api_moderacion_producto_admin,apps.administracion.views
/panel/api/imagenes/<int:cod_imagen>/,api_imagen_admin,api_imagen_admin,apps.administracion.views
/panel/api/atributos/,api_crear_atributo_producto,api_atributo_producto_admin,apps.administracion.views
/panel/api/atributos/<int:cod_atributo>/,api_actualizar_atributo_producto,api_atributo_producto_admin,apps.administracion.views
/panel/api/atributos/valores/,api_valor_atributo_producto,api_valor_atributo_producto_admin,apps.administracion.views
/panel/api/productos/<int:cod_producto>/recalcular-precio/,api_recalcular_precio_producto,api_recalcular_precio_producto,apps.administracion.views
/panel/api/catalogo/,api_catalogo_admin,api_catalogo_admin,apps.administracion.views
/panel/api/categorias/,api_crear_categoria,api_categoria_admin,apps.administracion.views
/panel/api/categorias/<int:cod_categoria>/,api_actualizar_categoria,api_categoria_admin,apps.administracion.views
/panel/api/marcas/,api_crear_marca,api_marca_admin,apps.administracion.views
/panel/api/marcas/<int:cod_marca>/,api_actualizar_marca,api_marca_admin,apps.administracion.views
/panel/api/reglas-precio/,api_crear_regla_precio,api_regla_precio_admin,apps.administracion.views
/panel/api/reglas-precio/<int:cod_regla_precio>/,api_actualizar_regla_precio,api_regla_precio_admin,apps.administracion.views
/panel/api/inventario/,api_inventario,api_inventario,apps.administracion.views
/panel/api/inventario/lotes/,api_lotes_admin,api_lotes_admin,apps.administracion.views
/panel/api/inventario/lotes/crear/,api_crear_lote,api_lote_admin,apps.administracion.views
/panel/api/inventario/alertas/,api_alertas_stock_admin,api_alertas_stock_admin,apps.administracion.views
/panel/api/inventario/acciones/,api_accion_inventario_admin,api_accion_inventario_admin,apps.administracion.views
/panel/api/pedidos/,api_pedidos_admin,api_pedidos_admin,apps.administracion.views
/panel/api/pedidos/<int:cod_pedido>/estado/,api_cambiar_estado_pedido,api_cambiar_estado_pedido,apps.administracion.views
/panel/api/pedidos/<int:cod_pedido>/detalle/,api_detalle_pedido_admin,api_detalle_pedido_admin,apps.administracion.views
